trade_id,created_at,symbol,broker,setup,status,entry_order_type,entry_stop,entry_limit,max_allowed_open_price,entry_price,stop_loss,qty,risk_amount,target_2r,exit_price,exit_date,gross_pnl,commission_buy_eur,commission_sell_eur,fees,net_pnl,r_multiple,notes
2026-06-16_AAPL,2026-06-16,AAPL,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,299.0387,,302.0291,,293.1861,8,46.82,310.7439,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-06-16_IBE.MC,2026-06-16,IBE.MC,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,20.6606,,20.8672,,20.417,205,49.94,21.1478,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-06-18_IWM,2026-06-18,IWM,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,296.266,,299.2286,,290.7446,9,49.69,307.3087,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-06-18_QQQ,2026-06-18,QQQ,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,742.5618,,749.9874,,730.6704,4,47.57,766.3447,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-06-22_IWM,2026-06-22,IWM,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,299.7895,,302.7874,,295.4877,11,47.32,308.3931,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-06-30_FER.MC,2026-06-30,FER.MC,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,60.5805,,61.1863,,59.778,62,49.76,62.1856,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-06-30_ITX.MC,2026-06-30,ITX.MC,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,55.6756,,56.2324,,54.875,62,49.64,57.2769,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-06-29_QQQ,2026-06-29,QQQ,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,725.3046,,732.5576,,703.2136,2,44.18,769.4866,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-06-30_IWM,2026-06-30,IWM,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,301.281,,304.2938,,296.8833,11,48.38,310.0764,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-06-30_QQQ,2026-06-30,QQQ,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,738.3576,,745.7412,,722.136,3,48.66,770.8009,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-07-02_IBE.MC,2026-07-02,IBE.MC,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,21.5816,,21.7974,,21.3139,186,49.79,22.117,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-07-02_ITX.MC,2026-07-02,ITX.MC,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,56.3563,,56.9199,,55.4421,54,49.36,58.1846,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-07-03_FER.MC,2026-07-03,FER.MC,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,60.1801,,60.7819,,59.4676,70,49.88,61.6052,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-07-03_ITX.MC,2026-07-03,ITX.MC,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,57.3173,,57.8904,,56.0401,39,49.81,59.8715,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-07-06_QQQ,2026-07-06,QQQ,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,726.8061,,734.0742,,716.7271,4,40.32,746.9641,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-07-09_CABK.MC,2026-07-09,CABK.MC,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,12.5626,,12.6882,,12.3984,304,49.9,12.8909,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-07-09_ITX.MC,2026-07-09,ITX.MC,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,55.3553,,55.9089,,54.5371,61,49.91,56.9916,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-07-10_CABK.MC,2026-07-10,CABK.MC,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,12.6476,,12.7741,,12.5085,359,49.95,12.9259,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-07-09_IWM,2026-07-09,IWM,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,298.1779,,301.1597,,294.4204,13,48.85,305.693,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-07-10_AAPL,2026-07-10,AAPL,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,317.2269,,320.3992,,311.2754,8,47.61,329.13,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-07-10_IWM,2026-07-10,IWM,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,298.5082,,301.4933,,293.1511,9,48.21,309.2225,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-07-14_IBE.MC,2026-07-14,IBE.MC,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,21.3013,,21.5143,,20.9448,140,49.9,22.0142,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-07-14_CABK.MC,2026-07-14,CABK.MC,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,12.5075,,12.6326,,12.1383,135,49.84,13.2458,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
2026-07-15_IWM,2026-07-15,IWM,Trade Republic,trend_pullback_signal_candle,pending_entry,buy_stop,297.4372,,300.4115,,293.7319,13,48.17,304.8476,,,,1.0,1.0,2.0,,,"Trade Republic: usar orden BUY STOP, no stop-limit. Antes de ejecutar, cancelar/no cursar si la apertura supera max_allowed_open_price o si no activa en 2 sesiones."
